window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts
0,hotel/consul,29.53,32.84,690.9879,0.0,0,100632.5845,74898.759,4.3538,446.6389,0.1456
0,hotel/frontend,0.52,84.81,1608.3379,0.0,0,0.0,0.0,0.0767,0.0,0.0772
0,hotel/geo,1.57,21.59,1608.2579,0.0,0,7730.5658,5753.7009,0.2315,0.0,0.0778
0,hotel/jaeger,0.38,14.88,570.2079,0.0,0,0.0,0.0,0.056,0.0,0.0747
0,hotel/memcached-profile,0.41,7.58,568.4479,0.0,0,0.0,0.0,0.0604,0.0,0.0745
0,hotel/memcached-rate,0.39,7.41,568.4479,0.0,0,0.0,0.0,0.0575,0.0,0.0745
0,hotel/memcached-reserve,0.37,7.09,568.4479,0.0,0,0.0,0.0,0.0546,0.0,0.0744
0,hotel/mongodb-geo,12.8,169.98,889.6279,0.0273,2,4676.6543,3480.7374,1.8872,446.6389,0.1095
0,hotel/mongodb-profile,11.75,171.59,889.6279,0.0273,2,5240.1066,3900.1034,1.7324,446.6389,0.107
0,hotel/mongodb-rate,11.46,171.94,889.6279,0.0,0,4124.471,3069.7588,1.6896,446.6389,0.1063
0,hotel/mongodb-recommendation,12.33,169.71,889.6279,0.0273,2,4327.3138,3220.7305,1.8179,446.6389,0.1084
0,hotel/mongodb-reservation,11.27,285.99,889.6279,0.0,0,4270.9686,3178.7939,1.6616,446.6389,0.1094
0,hotel/mongodb-user,11.15,170.45,889.6279,0.0,0,3437.0592,2558.1323,1.6439,446.6389,0.1055
0,hotel/profile,1.21,32.5,1608.2579,0.0,0,5781.0208,4302.6947,0.1784,0.0,0.0772
0,hotel/rate,1.47,26.1,1608.3379,0.0,0,6795.235,5057.5534,0.2167,0.0,0.0777
0,hotel/recommendation,1.41,20.25,1608.2579,0.0,0,7133.3064,5309.173,0.2079,0.0,0.0773
0,hotel/reservation,1.33,77.24,1608.2579,0.0,0,5138.6852,3824.6175,0.1961,0.0,0.0789
0,hotel/search,11.96,25.16,1608.2579,0.0,0,1588.9355,1182.612,1.7634,446.6389,0.103
0,hotel/user,1.38,16.09,1608.2579,0.0,0,7426.3016,5527.2432,0.2035,0.0,0.0771
0,hotel2/consul,29.8,29.8,690.9879,0.0,0,117322.0422,87320.3785,4.3937,446.6389,0.1461
0,hotel2/frontend,0.49,68.03,1608.3379,0.0,0,0.0,0.0,0.0722,0.0,0.0766
0,hotel2/geo,1.17,19.93,1608.2579,0.0,0,7245.9968,5393.0461,0.1725,0.0,0.0768
0,hotel2/jaeger,0.3,14.89,570.2079,0.0,0,0.0,0.0,0.0442,0.0,0.0745
0,hotel2/memcached-profile,0.44,7.68,568.4479,0.0,0,0.0,0.0,0.0649,0.0,0.0746
0,hotel2/memcached-rate,0.38,7.41,568.4479,0.0,0,0.0,0.0,0.056,0.0,0.0745
0,hotel2/memcached-reserve,0.33,7.02,568.4479,0.0,0,0.0,0.0,0.0487,0.0,0.0743
0,hotel2/mongodb-geo,10.61,164.49,889.6279,0.0,0,3763.8615,2801.3646,1.5643,446.6389,0.1041
0,hotel2/mongodb-profile,10.97,164.17,889.6279,0.0,0,5116.1471,3807.8428,1.6174,446.6389,0.1049
0,hotel2/mongodb-rate,10.92,164.26,889.6279,0.0,0,3696.2472,2751.0406,1.61,446.6389,0.1048
0,hotel2/mongodb-recommendation,12.67,162.88,889.6279,0.0312,2,3910.3591,2910.3997,1.868,446.6389,0.109
0,hotel2/mongodb-reservation,12.62,278.05,889.6279,0.0469,2,3380.7139,2516.1957,1.8607,446.6389,0.1124
0,hotel2/mongodb-user,10.87,163.72,889.6279,0.0,0,3470.8663,2583.2943,1.6027,446.6389,0.1047
0,hotel2/profile,1.15,32.0,1608.2579,0.0,0,6953.0016,5174.9758,0.1696,0.0,0.0771
0,hotel2/rate,1.29,23.91,1608.3379,0.0,0,9398.3847,6995.0241,0.1902,0.0,0.0772
0,hotel2/recommendation,1.53,19.34,1608.2579,0.0,0,3696.2472,2751.0406,0.2256,0.0,0.0776
0,hotel2/reservation,2.02,88.01,1608.2579,0.0,0,5431.6804,4042.6878,0.2978,0.0,0.0809
0,hotel2/search,0.98,23.67,1608.2579,0.0,0,326.8023,243.2323,0.1445,0.0,0.0764
0,hotel2/user,1.22,15.02,1608.2579,0.0,0,6862.8493,5107.8773,0.1799,0.0,0.0767
0,sa1/customer-feedback,123.12,3229.61,7268.7579,0.0,0,5082.3399,3782.6809,18.1526,446.6389,0.4713
0,sa2/customer-feedback,112.8,3114.91,7175.6179,0.0,0,4710.4614,3505.8994,16.631,446.6389,0.4428
0,sa3/customer-feedback,117.05,3024.23,7111.4279,0.0,0,4485.0805,3338.153,17.2576,446.6389,0.4502
0,sa4/customer-feedback,49.63,2920.23,7065.7579,0.1719,6,10683.056,7951.1785,7.3174,446.6389,0.2843
0,sn/compose-post-service,0.02,36.52,740.6179,0.0,0,0.0,0.0,0.0029,0.0,0.0745
0,sn/home-timeline-redis,4.77,2665.02,1537.8179,0.0,0,15528.746,11557.7256,0.7033,0.0,0.1681
0,sn/home-timeline-service,0.03,78.37,740.6179,0.0,0,0.0,0.0,0.0044,0.0,0.0758
0,sn/jaeger,0.56,1803.7,564.1979,0.0,0,0.0,0.0,0.0826,0.0,0.131
0,sn/media-frontend,0.0,2027.34,1137.6279,0.0,0,0.0,0.0,0.0,0.0,0.1367
0,sn/media-memcached,0.32,4.63,564.5279,0.0,0,0.0,0.0,0.0472,0.0,0.0742
0,sn/media-mongodb,14.92,79.25,1197.7579,0.0312,2,4079.3948,3036.2095,2.1998,446.6389,0.1118
0,sn/media-service,0.0,4.43,740.6179,0.0,0,0.0,0.0,0.0,0.0,0.0735
0,sn/nginx-thrift,6.13,34765.81,1109.5179,0.0,0,13184.7843,9813.1633,0.9038,0.0,1.1743
0,sn/post-storage-memcached,0.7,69.95,564.5279,0.0,0,8553.2062,6365.9752,0.1032,0.0,0.0772
0,sn/post-storage-mongodb,14.86,8190.63,3631.1279,0.0312,2,4428.7352,3296.2164,2.1909,446.6389,0.3651
0,sn/post-storage-service,0.1,151.93,740.6179,0.0,0,0.0,0.0,0.0147,0.0,0.0783
0,sn/social-graph-mongodb,16.2,729.66,1253.4179,0.0391,6,5172.4923,3849.7794,2.3885,446.6389,0.1352
0,sn/social-graph-redis,2.53,20.29,592.7679,0.0,0,10626.7108,7909.2419,0.373,0.0,0.0801
0,sn/social-graph-service,0.16,31.74,740.6179,0.0,0,0.0,0.0,0.0236,0.0,0.0747
0,sn/text-service,0.0,30.06,740.6179,0.0,0,0.0,0.0,0.0,0.0,0.0743
0,sn/unique-id-service,0.0,4.47,740.6179,0.0,0,0.0,0.0,0.0,0.0,0.0735
0,sn/url-shorten-memcached,0.28,4.62,564.5279,0.0,0,0.0,0.0,0.0413,0.0,0.0741
0,sn/url-shorten-mongodb,16.02,7116.54,2476.0379,0.0312,2,5465.4875,4067.8497,2.362,446.6389,0.3343
0,sn/url-shorten-service,0.11,6.41,740.6179,0.0,0,0.0,0.0,0.0162,0.0,0.0738
0,sn/user-memcached,0.35,6.29,564.5279,0.0,0,0.0,0.0,0.0516,0.0,0.0744
0,sn/user-mention-service,0.09,23.33,740.6179,0.0,0,0.0,0.0,0.0133,0.0,0.0743
0,sn/user-mongodb,16.52,129.53,1198.6279,0.0312,2,5172.4923,3849.7794,2.4357,446.6389,0.1172
0,sn/user-service,0.11,17.54,740.6179,0.0,0,0.0,0.0,0.0162,0.0,0.0741
0,sn/user-timeline-mongodb,28.96,106.73,1190.7179,0.0234,2,71085.1448,52907.2085,4.2698,446.6389,0.1465
0,sn/user-timeline-redis,2.54,91.09,626.2279,0.0,0,12035.3416,8957.6567,0.3745,0.0,0.0823
0,sn/user-timeline-service,0.02,303.54,740.6179,0.0,0,0.0,0.0,0.0029,0.0,0.0828
0,sn2/compose-post-service,0.0,32.52,740.6179,0.0,0,0.0,0.0,0.0,0.0,0.0743
0,sn2/home-timeline-redis,4.82,2619.45,1495.2679,0.0,0,11900.113,8857.0089,0.7107,0.0,0.1668
0,sn2/home-timeline-service,0.0,72.21,740.6179,0.0,0,0.0,0.0,0.0,0.0,0.0756
0,sn2/jaeger,593.0,1412.99,564.1979,0.0,0,1746.7022,1300.0345,87.4308,446.6389,1.5482
0,sn2/media-frontend,0.0,2027.59,1137.6279,0.0,0,0.0,0.0,0.0,0.0,0.1367
0,sn2/media-memcached,0.31,4.63,564.5279,0.0,0,0.0,0.0,0.0457,0.0,0.0742
0,sn2/media-mongodb,13.91,71.68,1191.4279,0.0078,4,7099.4992,5284.011,2.0509,446.6389,0.1091
0,sn2/media-service,0.03,4.52,740.6179,0.0,0,0.0,0.0,0.0044,0.0,0.0735
0,sn2/nginx-thrift,1.76,33684.63,1109.5179,0.0,0,16024.584,11926.7677,0.2595,0.0,1.1299
0,sn2/post-storage-memcached,0.69,69.82,564.5279,0.0,0,3549.7496,2642.0055,0.1017,0.0,0.0772
0,sn2/post-storage-mongodb,13.63,7565.95,3391.7779,0.0039,2,5318.9899,3958.8146,2.0096,446.6389,0.3426
0,sn2/post-storage-service,0.03,68.65,740.6179,0.0,0,0.0,0.0,0.0044,0.0,0.0755
0,sn2/social-graph-mongodb,17.83,732.62,1246.7079,0.0039,2,4845.69,3606.5472,2.6288,446.6389,0.1392
0,sn2/social-graph-redis,2.8,20.28,592.7679,0.0,0,15517.4769,11549.3383,0.4128,0.0,0.0807
0,sn2/social-graph-service,0.02,31.53,740.6179,0.0,0,0.0,0.0,0.0029,0.0,0.0743
0,sn2/text-service,0.0,7.33,740.6179,0.0,0,0.0,0.0,0.0,0.0,0.0735
