window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts
0,hotel/consul,27.91,29.28,2833.3648,0.0,0,320279.9096,169059.8205,75.4661,712.3172,0.1416
0,hotel/frontend,0.48,81.02,3751.0248,0.0,0,0.0,0.0,1.2979,0.0,0.077
0,hotel/geo,1.28,23.17,3750.9448,0.0,0,13285.5891,7012.8011,3.461,0.0,0.0771
0,hotel/jaeger,0.34,14.79,2712.8948,0.0,0,0.0,0.0,0.9193,0.0,0.0746
0,hotel/memcached-profile,0.44,7.68,2711.1348,0.0,0,0.0,0.0,1.1897,0.0,0.0746
0,hotel/memcached-rate,0.4,7.54,2711.1348,0.0,0,0.0,0.0,1.0816,0.0,0.0745
0,hotel/memcached-reserve,0.4,7.06,2711.1348,0.0,0,0.0,0.0,1.0816,0.0,0.0745
0,hotel/mongodb-geo,11.75,62.4,3032.3148,0.0234,2,9688.7589,5114.2135,31.7709,712.3172,0.1036
0,hotel/mongodb-profile,11.43,63.8,3032.3148,0.0234,2,16072.3225,8483.7789,30.9057,712.3172,0.1029
0,hotel/mongodb-rate,10.26,65.56,3032.3148,0.0,0,20382.038,10758.6632,27.7421,712.3172,0.1001
0,hotel/mongodb-recommendation,12.3,62.71,3032.3148,0.0234,2,10887.7023,5747.0761,33.2581,712.3172,0.1049
0,hotel/mongodb-reservation,11.6,148.23,3032.3148,0.0234,2,10304.4325,5439.197,31.3654,712.3172,0.1059
0,hotel/mongodb-user,13.48,62.87,3032.3148,0.0234,2,10531.2597,5558.9277,36.4487,712.3172,0.1078
0,hotel/profile,1.22,35.45,3750.9448,0.0,0,8262.9884,4361.6202,3.2988,0.0,0.0774
0,hotel/rate,1.54,33.87,3751.0248,0.0,0,25987.9085,13717.7232,4.164,0.0,0.0781
0,hotel/recommendation,1.44,22.09,3750.9448,0.0,0,14484.5325,7645.6637,3.8936,0.0,0.0775
0,hotel/reservation,1.47,50.83,3750.9448,0.0,0,22099.4434,11665.196,3.9747,0.0,0.0784
0,hotel/search,0.37,25.04,3750.9448,0.0,0,0.0,0.0,1.0004,0.0,0.075
0,hotel/user,1.35,18.3,3750.9448,0.0,0,19928.3837,10519.2017,3.6503,0.0,0.0771
0,sa1/customer-feedback,121.35,9957.95,15766.6848,0.0,0,15553.8604,8210.1086,328.1194,712.3172,0.6772
0,sa2/customer-feedback,121.99,3054.79,9274.6448,0.0,0,16720.4,8825.8668,329.8499,712.3172,0.4631
0,sa3/customer-feedback,115.88,3047.51,9270.2548,0.0,0,15294.6294,8073.2735,313.3291,712.3172,0.4481
0,sa4/customer-feedback,121.51,3042.55,9269.5548,0.0,0,17919.3434,9458.7293,328.5521,712.3172,0.4615
0,sn1/compose-post-service,0.0,46.31,2883.3048,0.0,0,0.0,0.0,0.0,0.0,0.0748
0,sn1/home-timeline-redis,4.92,2550.46,3584.6248,0.0,0,37394.0728,19738.4695,13.3032,0.0,0.1649
0,sn1/home-timeline-service,0.0,85.35,2883.3048,0.0,0,0.0,0.0,0.0,0.0,0.076
0,sn1/jaeger,0.47,3431.89,2706.8848,0.0,0,0.0,0.0,1.2708,0.0,0.1817
0,sn1/media-frontend,0.0,2027.57,3280.3148,0.0,0,0.0,0.0,0.0,0.0,0.1367
0,sn1/media-memcached,0.28,4.63,2707.2148,0.0,0,0.0,0.0,0.7571,0.0,0.0741
0,sn1/media-mongodb,17.25,73.61,3335.5048,0.043,6,14776.1674,7799.6032,46.6424,712.3172,0.1172
0,sn1/media-service,0.0,4.65,2883.3048,0.0,0,0.0,0.0,0.0,0.0,0.0735
0,sn1/nginx-thrift,6.41,38432.25,3252.2048,0.0,0,48865.0449,25793.4247,17.3321,0.0,1.2895
0,sn1/post-storage-memcached,0.68,69.88,2707.2148,0.0,0,26700.7938,14094.0198,1.8387,0.0,0.0771
0,sn1/post-storage-mongodb,16.17,8189.12,6761.2348,0.043,2,11244.1449,5935.2244,43.7222,712.3172,0.3682
0,sn1/post-storage-service,0.11,89.45,2883.3048,0.0,0,0.0,0.0,0.2974,0.0,0.0764
