window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts
0,hotel/consul,33.08,32.16,604.2189,0.0,0,51055.2481,46990.6766,5.3583,440.039,0.1541
0,hotel/frontend,0.57,65.59,1521.5689,0.0,0,0.0,0.0,0.0923,0.0,0.0767
0,hotel/geo,1.2,19.39,1521.4889,0.0,0,4493.7358,4135.9839,0.1944,0.0,0.0768
0,hotel/jaeger,0.24,14.88,483.4389,0.0,0,0.0,0.0,0.0389,0.0,0.0744
0,hotel/memcached-profile,0.47,7.59,481.6789,0.0,0,0.0,0.0,0.0761,0.0,0.0747
0,hotel/memcached-rate,0.37,7.42,481.6789,0.0,0,0.0,0.0,0.0599,0.0,0.0744
0,hotel/memcached-reserve,0.32,7.09,481.6789,0.0,0,0.0,0.0,0.0518,0.0,0.0743
0,hotel/mongodb-geo,10.39,170.12,802.8589,0.0,0,2818.5993,2594.2071,1.683,440.039,0.1037
0,hotel/mongodb-profile,11.31,171.85,802.8589,0.0,0,2170.3943,1997.6065,1.832,440.039,0.106
0,hotel/mongodb-rate,12.05,171.82,802.8589,0.0156,2,2738.4841,2520.47,1.9519,440.039,0.1078
0,hotel/mongodb-recommendation,10.73,170.16,802.8589,0.0,0,3539.6363,3257.8415,1.7381,440.039,0.1045
0,hotel/mongodb-reservation,11.32,287.61,802.8589,0.0312,2,2418.0232,2225.5213,1.8336,440.039,0.1096
0,hotel/mongodb-user,12.86,170.38,802.8589,0.0312,2,2447.156,2252.3349,2.0831,440.039,0.1097
0,hotel/profile,1.5,31.03,1521.4889,0.0,0,4610.2671,4243.238,0.243,0.0,0.0779
0,hotel/rate,1.58,24.65,1521.5689,0.0,0,5316.7377,4893.4656,0.2559,0.0,0.0779
0,hotel/recommendation,1.45,18.54,1521.4889,0.0,0,5375.0033,4947.0926,0.2349,0.0,0.0774
0,hotel/reservation,1.3,73.09,1521.4889,0.0,0,4624.8335,4256.6447,0.2106,0.0,0.0787
0,hotel/search,0.53,24.23,1521.4889,0.0,0,0.0,0.0,0.0859,0.0,0.0753
0,hotel/user,1.39,14.54,1521.4889,0.0,0,4799.6303,4417.5258,0.2252,0.0,0.0771
0,hotel2/consul,28.33,29.8,604.2189,0.0,0,72802.8902,67006.962,4.5889,440.039,0.1426
0,hotel2/frontend,0.61,59.46,1521.5689,0.0,0,1529.4725,1407.7093,0.0988,0.0,0.0766
0,hotel2/geo,1.42,19.23,1521.4889,0.0,0,7705.628,7092.1734,0.23,0.0,0.0773
0,hotel2/jaeger,0.32,14.89,483.4389,0.0,0,0.0,0.0,0.0518,0.0,0.0745
0,hotel2/memcached-profile,0.44,7.68,481.6789,0.0,0,0.0,0.0,0.0713,0.0,0.0746
0,hotel2/memcached-rate,0.42,7.41,481.6789,0.0,0,0.0,0.0,0.068,0.0,0.0746
0,hotel2/memcached-reserve,0.44,7.02,481.6789,0.0,0,0.0,0.0,0.0713,0.0,0.0746
0,hotel2/mongodb-geo,11.32,165.2,802.8589,0.0156,2,3423.1051,3150.5874,1.8336,440.039,0.1058
0,hotel2/mongodb-profile,12.43,164.38,802.8589,0.0156,2,2665.652,2453.4362,2.0134,440.039,0.1084
0,hotel2/mongodb-rate,11.89,164.77,802.8589,0.0156,2,2294.2087,2111.5639,1.926,440.039,0.1071
0,hotel2/mongodb-recommendation,11.24,163.16,802.8589,0.0,0,3241.025,2983.003,1.8207,440.039,0.1055
0,hotel2/mongodb-reservation,11.96,280.15,802.8589,0.0898,16,2993.3961,2755.0882,1.9373,440.039,0.1109
0,hotel2/mongodb-user,10.96,163.16,802.8589,0.0352,4,2811.3161,2587.5037,1.7753,440.039,0.1049
0,hotel2/profile,1.64,31.23,1521.4889,0.0,0,5586.2162,5141.4906,0.2656,0.0,0.0782
0,hotel2/rate,1.69,21.84,1521.5689,0.0,0,5513.3841,5074.4568,0.2737,0.0,0.0781
0,hotel2/recommendation,1.33,16.61,1521.4889,0.0,0,6329.1028,5825.2351,0.2154,0.0,0.077
0,hotel2/reservation,1.11,85.75,1521.4889,0.0,0,2971.5465,2734.978,0.1798,0.0,0.0787
