window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts
0,hotel/consul,30.15,33.22,1206.3262,0.0,0,5836.778,2189.9703,3.5895,437.2233,0.1471
0,hotel/frontend,1.79,98.56,2123.6762,0.0,0,156.3271,58.6542,0.2131,0.0,0.0807
0,hotel/geo,1.46,23.59,2123.5962,0.0,0,560.7385,210.3902,0.1738,0.0,0.0776
0,hotel/jaeger,0.35,14.88,1085.5462,0.0,0,0.0,0.0,0.0417,0.0,0.0746
0,hotel/memcached-profile,0.47,7.58,1083.7862,0.0,0,0.0,0.0,0.056,0.0,0.0747
0,hotel/memcached-rate,0.4,7.41,1083.7862,0.0,0,0.0,0.0,0.0476,0.0,0.0745
0,hotel/memcached-reserve,0.4,7.09,1083.7862,0.0,0,0.0,0.0,0.0476,0.0,0.0745
0,hotel/mongodb-geo,11.1,169.76,1404.9662,0.0234,2,350.8864,131.6532,1.3215,437.2233,0.1054
0,hotel/mongodb-profile,10.99,171.43,1404.9662,0.0234,2,360.232,135.1597,1.3084,437.2233,0.1052
0,hotel/mongodb-rate,8.15,171.09,1404.9662,0.0,0,383.1713,143.7666,0.9703,0.0,0.0983
0,hotel/mongodb-recommendation,10.97,169.58,1404.9662,0.0234,2,238.7387,89.5752,1.306,437.2233,0.1051
0,hotel/mongodb-reservation,9.23,279.63,1404.9662,0.0,0,437.546,164.1681,1.0989,0.0,0.1043
0,hotel/mongodb-user,10.31,170.55,1404.9662,0.0,0,332.1951,124.6402,1.2274,437.2233,0.1035
0,hotel/profile,1.24,37.59,2123.5962,0.0,0,374.6753,140.5789,0.1476,0.0,0.0775
0,hotel/rate,1.36,32.4,2123.6762,0.0,0,512.3111,192.2201,0.1619,0.0,0.0776
0,hotel/recommendation,1.24,22.25,2123.5962,0.0,0,562.4377,211.0277,0.1476,0.0,0.077
0,hotel/reservation,1.72,85.11,2123.5962,0.0,0,610.8651,229.1978,0.2048,0.0,0.0801
0,hotel/search,0.44,29.0,2123.5962,0.0,0,0.0,0.0,0.0524,0.0,0.0753
