window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts
0,hotel/consul,27.43,28.43,1419.9452,0.0,0,61476.9486,38962.4938,21.8153,700.7357,0.1404
0,hotel/frontend,0.74,111.79,2337.6052,0.0,0,0.0,0.0,0.5885,0.0,0.0786
0,hotel/geo,1.38,25.1,2337.5252,0.0,0,4206.706,2666.101,1.0975,0.0,0.0774
0,hotel/jaeger,0.35,14.79,1299.4752,0.0,0,0.0,0.0,0.2784,0.0,0.0746
0,hotel/memcached-profile,0.42,7.62,1297.7152,0.0,0,0.0,0.0,0.334,0.0,0.0746
0,hotel/memcached-rate,0.39,7.46,1297.7152,0.0,0,0.0,0.0,0.3102,0.0,0.0745
0,hotel/memcached-reserve,0.39,7.07,1297.7152,0.0,0,0.0,0.0,0.3102,0.0,0.0745
0,hotel/mongodb-geo,11.99,62.17,1618.8952,0.0547,4,3136.579,1987.8823,9.5357,700.7357,0.1042
0,hotel/mongodb-profile,11.97,63.73,1618.8952,0.0312,2,2745.4292,1739.9817,9.5198,700.7357,0.1042
0,hotel/mongodb-rate,10.62,64.76,1618.8952,0.0,0,2501.883,1585.6285,8.4462,700.7357,0.101
0,hotel/mongodb-recommendation,12.01,62.52,1618.8952,0.0312,2,2841.3716,1800.7875,9.5516,700.7357,0.1042
0,hotel/mongodb-reservation,12.47,84.62,1618.8952,0.0547,4,3158.7196,2001.9144,9.9175,700.7357,0.106
0,hotel/mongodb-user,11.71,62.68,1618.8952,0.0312,2,2915.1734,1847.5612,9.313,700.7357,0.1035
0,hotel/profile,1.16,39.59,2337.5252,0.0,0,3896.7382,2469.6515,0.9226,0.0,0.0773
0,hotel/rate,1.46,32.07,2337.6052,0.0,0,3918.8787,2483.6836,1.1611,0.0,0.0778
0,hotel/recommendation,1.4,23.41,2337.5252,0.0,0,4324.7889,2740.9389,1.1134,0.0,0.0774
0,hotel/reservation,1.46,47.41,2337.5252,0.0,0,4125.5239,2614.6499,1.1611,0.0,0.0783
0,hotel/search,0.61,29.32,2337.5252,0.0,0,0.0,0.0,0.4851,0.0,0.0757
0,hotel/user,1.46,19.65,2337.5252,0.0,0,4804.501,3044.968,1.1611,0.0,0.0774
0,sa1/customer-feedback,123.04,9907.73,14300.1252,0.0,0,3690.093,2338.6851,97.8545,700.7357,0.6797
0,sa2/customer-feedback,108.11,2981.15,7809.7552,0.0,0,5985.3308,3793.3472,85.9806,700.7357,0.4273
0,sa3/customer-feedback,99.6,2953.05,7804.4552,0.0,0,3749.1344,2376.1041,79.2126,700.7357,0.4059
0,sa4/customer-feedback,98.26,2947.24,7805.3252,0.0,0,3483.4477,2207.7187,78.1468,700.7357,0.4025
0,sa5/customer-feedback,72.71,2946.09,7800.7952,0.0,0,3815.5561,2418.2004,57.8268,700.7357,0.3408
0,sn1/compose-post-service,0.0,45.69,1469.8852,0.0,0,0.0,0.0,0.0,0.0,0.0747
0,sn1/home-timeline-redis,4.8,2550.25,2171.2052,0.0,0,9313.7946,5902.8412,3.8175,0.0,0.1646
0,sn1/home-timeline-service,0.0,85.47,1469.8852,0.0,0,0.0,0.0,0.0,0.0,0.076
0,sn1/jaeger,0.55,2977.74,1293.4652,0.0,0,0.0,0.0,0.4374,0.0,0.1677
0,sn1/media-frontend,0.0,2027.57,1866.8952,0.0,0,0.0,0.0,0.0,0.0,0.1367
0,sn1/media-memcached,0.31,4.63,1293.7952,0.0,0,0.0,0.0,0.2465,0.0,0.0742
0,sn1/media-mongodb,15.42,73.5,1921.9952,0.0195,2,3166.0998,2006.5918,12.2636,700.7357,0.1128
0,sn1/media-service,0.0,4.74,1469.8852,0.0,0,0.0,0.0,0.0,0.0,0.0735
0,sn1/nginx-thrift,6.43,37327.0,1838.7852,0.0,0,10966.9563,6950.5721,5.1138,0.0,1.255
0,sn1/post-storage-memcached,0.7,69.88,1293.7952,0.0,0,2398.5604,1520.1453,0.5567,0.0,0.0772
0,sn1/post-storage-mongodb,15.12,8190.02,5347.2952,0.0195,2,3372.745,2137.5582,12.025,700.7357,0.3657
0,sn1/post-storage-service,0.1,95.41,1469.8852,0.0,0,0.0,0.0,0.0795,0.0,0.0765
0,sn1/social-graph-mongodb,16.0,728.62,1974.9852,0.0195,2,3225.1412,2044.0108,12.7249,700.7357,0.1347
