window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts
0,hotel/consul,29.05,29.59,3001.3574,0.0,0,296003.0613,60997.9005,41.1759,862.6459,0.1443
0,hotel/frontend,1.03,87.11,3919.0174,0.0,0,0.0,0.0,1.4599,0.0,0.0785
0,hotel/geo,1.98,25.88,3918.9374,0.0,0,18211.2747,3752.8312,2.8065,0.0,0.0789
0,hotel/jaeger,1.82,14.79,2880.8874,0.0,0,711.1795,146.5541,2.5797,0.0,0.0782
0,hotel/memcached-profile,0.48,7.68,2879.1274,0.0,0,0.0,0.0,0.6804,0.0,0.0747
0,hotel/memcached-rate,0.42,7.57,2879.1274,0.0,0,0.0,0.0,0.5953,0.0,0.0746
0,hotel/memcached-reserve,0.41,7.15,2879.1274,0.0,0,0.0,0.0,0.5811,0.0,0.0745
0,hotel/mongodb-geo,10.0,62.89,3200.3074,0.0,0,12039.2527,2480.9512,14.1742,0.0,0.0994
0,hotel/mongodb-profile,10.83,64.6,3200.3074,0.0,0,11912.2564,2454.7808,15.3506,862.6459,0.1015
0,hotel/mongodb-rate,11.29,65.2,3200.3074,0.0156,2,8051.5677,1659.2015,16.0026,862.6459,0.1026
0,hotel/mongodb-recommendation,9.93,63.26,3200.3074,0.0,0,9346.9304,1926.1393,14.0749,0.0,0.0992
0,hotel/mongodb-reservation,10.07,250.97,3200.3074,0.0,0,11099.4798,2287.2904,14.2734,862.6459,0.1055
0,hotel/mongodb-user,10.62,63.17,3200.3074,0.0,0,13029.8241,2685.0801,15.0529,862.6459,0.1009
0,hotel/profile,1.71,39.12,3918.9374,0.0,0,23494.3223,4841.5186,2.4238,0.0,0.0787
0,hotel/rate,1.4,34.48,3919.0174,0.0,0,18185.8754,3747.5971,1.9844,0.0,0.0778
0,hotel/recommendation,1.44,23.99,3918.9374,0.0,0,17754.0879,3658.6178,2.0411,0.0,0.0775
0,hotel/reservation,1.36,54.91,3918.9374,0.0,0,14934.7692,3077.6356,1.9277,0.0,0.0783
0,hotel/search,0.63,28.93,3918.9374,0.0,0,0.0,0.0,0.893,0.0,0.0757
0,hotel/user,1.15,18.25,3918.9374,0.0,0,14096.5934,2904.9112,1.63,0.0,0.0767
0,sa1/customer-feedback,126.82,10121.77,16093.4974,0.0,0,12394.8424,2554.2282,179.7566,862.6459,0.6955
