window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts
0,hotel/consul,29.37,31.7,676.8595,0.0,0,92664.3874,40728.2451,19.0268,397.3005,0.1452
0,hotel/frontend,0.48,60.93,1594.2095,0.0,0,0.0,0.0,0.311,0.0,0.0764
0,hotel/geo,1.27,16.57,1594.1295,0.0,0,4236.9024,1862.2213,0.8227,0.0,0.0769
0,hotel/jaeger,0.39,14.88,556.0795,0.0,0,0.0,0.0,0.2527,0.0,0.0747
0,hotel/memcached-profile,0.44,7.58,554.3195,0.0,0,0.0,0.0,0.285,0.0,0.0746
0,hotel/memcached-rate,0.47,7.41,554.3195,0.0,0,0.0,0.0,0.3045,0.0,0.0747
0,hotel/memcached-reserve,0.39,7.09,554.3195,0.0,0,0.0,0.0,0.2527,0.0,0.0745
0,hotel/mongodb-geo,10.38,169.44,875.4995,0.0,0,4411.4564,1938.9421,6.7245,397.3005,0.1037
0,hotel/mongodb-profile,10.81,171.12,875.4995,0.0,0,3165.7754,1391.435,7.0031,397.3005,0.1047
0,hotel/mongodb-rate,12.06,171.51,875.4995,0.0,0,3316.5266,1457.6938,7.8129,397.3005,0.1078
0,hotel/mongodb-recommendation,10.91,169.28,875.4995,0.0,0,3276.8552,1440.2573,7.0678,397.3005,0.1049
0,hotel/mongodb-reservation,12.2,219.76,875.4995,0.0273,2,2919.8129,1283.3286,7.9035,397.3005,0.1096
0,hotel/mongodb-user,11.83,169.73,875.4995,0.0273,2,4046.4798,1778.526,7.6638,397.3005,0.1072
0,hotel/profile,1.43,28.15,1594.1295,0.0,0,5062.0669,2224.9011,0.9264,0.0,0.0776
0,hotel/rate,1.53,21.59,1594.2095,0.0,0,2562.7705,1126.3998,0.9912,0.0,0.0777
0,hotel/recommendation,1.31,15.96,1594.1295,0.0,0,4895.4471,2151.6677,0.8487,0.0,0.077
0,hotel/reservation,1.31,39.22,1594.1295,0.0,0,4649.4846,2043.5612,0.8487,0.0,0.0777
0,hotel/search,0.51,21.39,1594.1295,0.0,0,0.0,0.0,0.3304,0.0,0.0752
0,hotel/user,1.1,14.2,1594.1295,0.0,0,2102.5826,924.1361,0.7126,0.0,0.0764
0,hotel2/consul,30.01,28.29,676.8595,0.0,0,108398.0529,47643.5726,19.4414,397.3005,0.1466
0,hotel2/frontend,0.4,55.09,1594.2095,0.0,0,0.0,0.0,0.2591,0.0,0.076
0,hotel2/geo,1.49,17.66,1594.1295,0.0,0,5244.5552,2305.1092,0.9653,0.0,0.0775
0,hotel2/jaeger,0.31,14.89,556.0795,0.0,0,0.0,0.0,0.2008,0.0,0.0745
0,hotel2/memcached-profile,0.46,7.63,554.3195,0.0,0,0.0,0.0,0.298,0.0,0.0747
0,hotel2/memcached-rate,0.4,7.41,554.3195,0.0,0,0.0,0.0,0.2591,0.0,0.0745
0,hotel2/memcached-reserve,0.39,7.0,554.3195,0.0,0,0.0,0.0,0.2527,0.0,0.0745
0,hotel2/mongodb-geo,11.64,163.66,875.4995,0.0156,2,4419.3907,1942.4294,7.5408,397.3005,0.1065
0,hotel2/mongodb-profile,13.8,164.57,875.4995,0.0156,2,3062.6298,1346.1001,8.9401,397.3005,0.1118
0,hotel2/mongodb-rate,14.16,164.79,875.4995,0.0156,2,3340.3294,1468.1558,9.1733,397.3005,0.1126
0,hotel2/mongodb-recommendation,9.75,162.35,875.4995,0.0,0,2435.8222,1070.6029,6.3164,0.0,0.1019
0,hotel2/mongodb-reservation,10.5,215.52,875.4995,0.0,0,3943.3342,1733.191,6.8022,397.3005,0.1054
0,hotel2/mongodb-user,12.48,162.11,875.4995,0.0156,2,3102.3012,1363.5366,8.0849,397.3005,0.1085
0,hotel2/profile,1.4,30.25,1594.1295,0.0,0,4538.4048,1994.7389,0.907,0.0,0.0776
0,hotel2/rate,1.72,20.16,1594.2095,0.0,0,5807.8887,2552.7079,1.1143,0.0,0.0781
0,hotel2/recommendation,1.06,15.02,1594.1295,0.0,0,5236.6209,2301.6219,0.6867,0.0,0.0763
0,hotel2/reservation,1.3,37.98,1594.1295,0.0,0,5339.7665,2346.9568,0.8422,0.0,0.0776
0,hotel2/search,14.53,20.71,1594.1295,0.0,0,944.1786,414.9894,9.413,397.3005,0.109
0,hotel2/user,1.72,13.12,1594.1295,0.0,0,7569.2975,3326.8898,1.1143,0.0,0.0779
0,sa5/customer-feedback,25.02,2917.63,7051.2595,0.0,0,11457.0918,5035.6697,16.2088,397.3005,0.2248
0,sn/compose-post-service,0.0,32.05,726.4895,0.0,0,0.0,0.0,0.0,0.0,0.0743
0,sn/home-timeline-redis,5.01,2665.04,1523.6895,0.0,0,10251.0822,4505.5992,3.2456,0.0,0.1687
0,sn/home-timeline-service,0.0,74.96,726.4895,0.0,0,0.0,0.0,0.0,0.0,0.0757
0,sn/jaeger,0.62,788.56,550.0695,0.0,0,1809.0145,795.1057,0.4017,0.0,0.0994
0,sn/media-frontend,0.0,2027.34,1123.4995,0.0,0,0.0,0.0,0.0,0.0,0.1367
0,sn/media-memcached,0.24,4.63,550.3995,0.0,0,0.0,0.0,0.1555,0.0,0.074
0,sn/media-mongodb,14.04,78.0,1182.9995,0.0,0,3189.5782,1401.897,9.0956,397.3005,0.1096
0,sn/media-service,0.02,4.43,726.4895,0.0,0,0.0,0.0,0.013,0.0,0.0735
0,sn/nginx-thrift,1.83,32298.54,1095.3895,0.0,0,11044.5096,4854.3297,1.1855,0.0,1.0868
0,sn/post-storage-memcached,0.67,69.97,550.3995,0.0,0,6640.9874,2918.875,0.434,0.0,0.0771
0,sn/post-storage-mongodb,14.02,2433.69,1845.3195,0.0,0,6133.1939,2695.6874,9.0826,397.3005,0.1832
