window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts
0,hotel/consul,27.19,29.59,3062.2243,0.0,0,320501.4673,76077.795,41.7466,714.9783,0.1398
0,hotel/frontend,0.48,64.97,3979.8843,0.0,0,0.0,0.0,0.737,0.0,0.0765
0,hotel/geo,1.13,23.43,3979.8043,0.0,0,13736.1545,3260.5665,1.735,0.0,0.0768
0,hotel/jaeger,0.35,14.79,2941.7543,0.0,0,0.0,0.0,0.5374,0.0,0.0746
0,hotel/memcached-profile,0.45,7.68,2939.9943,0.0,0,0.0,0.0,0.6909,0.0,0.0746
0,hotel/memcached-rate,0.46,7.57,2939.9943,0.0,0,0.0,0.0,0.7063,0.0,0.0747
0,hotel/memcached-reserve,0.35,7.15,2939.9943,0.0,0,0.0,0.0,0.5374,0.0,0.0744
0,hotel/mongodb-geo,11.4,63.39,3261.1743,0.0234,2,11121.002,2639.8048,17.5032,714.9783,0.1028
0,hotel/mongodb-profile,11.53,65.19,3261.1743,0.0234,2,12230.4607,2903.1583,17.7028,714.9783,0.1032
0,hotel/mongodb-rate,10.09,65.0,3261.1743,0.0352,4,8162.4457,1937.5289,15.4919,714.9783,0.0997
0,hotel/mongodb-recommendation,11.55,62.93,3261.1743,0.0352,4,13577.6604,3222.9446,17.7335,714.9783,0.1031
0,hotel/mongodb-reservation,11.75,253.09,3261.1743,0.0234,2,11939.8882,2834.1847,18.0406,714.9783,0.1096
0,hotel/mongodb-user,11.76,62.89,3261.1743,0.0234,2,12177.6293,2890.6176,18.0559,714.9783,0.1037
0,hotel/profile,1.06,40.31,3979.8043,0.0,0,13207.8409,3135.1601,1.6275,0.0,0.0771
0,hotel/rate,2.16,34.15,3979.8843,0.0,0,21053.2984,4997.4452,3.3164,0.0,0.0796
0,hotel/recommendation,1.99,22.45,3979.8043,0.0,0,18332.4832,4351.6022,3.0554,0.0,0.0788
0,hotel/reservation,1.42,56.0,3979.8043,0.0,0,7871.8732,1868.5554,2.1802,0.0,0.0785
0,hotel/search,20.3,27.55,3979.8043,0.0,0,5362.3834,1272.875,31.168,714.9783,0.1232
0,hotel/user,1.72,17.41,3979.8043,0.0,0,8637.9279,2050.3947,2.6408,0.0,0.078
0,sn1/compose-post-service,0.0,47.38,3112.1643,0.0,0,0.0,0.0,0.0,0.0,0.0748
0,sn1/home-timeline-redis,5.0,2550.29,3813.4843,0.0,0,39385.7816,9349.0474,7.6768,0.0,0.1651
0,sn1/home-timeline-service,0.0,87.04,3112.1643,0.0,0,0.0,0.0,0.0,0.0,0.076
0,sn1/jaeger,0.41,5261.83,2935.7443,0.0,0,0.0,0.0,0.6295,0.0,0.2387
0,sn1/media-frontend,0.0,2027.57,3509.1743,0.0,0,0.0,0.0,0.0,0.0,0.1367
0,sn1/media-memcached,0.23,4.63,2936.0743,0.0,0,0.0,0.0,0.3531,0.0,0.074
0,sn1/media-mongodb,15.19,73.95,3564.7643,0.0312,2,10619.1041,2520.6687,23.3222,714.9783,0.1123
0,sn1/media-service,0.0,4.77,3112.1643,0.0,0,0.0,0.0,0.0,0.0,0.0735
0,sn1/nginx-thrift,6.34,42900.13,3481.0643,0.0,0,35000.7784,8308.1743,9.7342,0.0,1.4289
0,sn1/post-storage-memcached,0.73,69.87,2936.0743,0.0,0,17857.0009,4238.7365,1.1208,0.0,0.0773
0,sn1/post-storage-mongodb,15.84,8188.98,6990.7943,0.0352,2,13894.6486,3298.1884,24.3202,714.9783,0.3674
0,sn1/post-storage-service,0.12,88.87,3112.1643,0.0,0,0.0,0.0,0.1842,0.0,0.0764
0,sn1/social-graph-mongodb,15.38,728.39,3617.7643,0.0547,4,14924.8602,3542.7309,23.614,714.9783,0.1332
0,sn1/social-graph-redis,2.67,20.29,2964.3143,0.0,0,38883.8836,9229.9113,4.0994,0.0,0.0804
0,sn1/social-graph-service,0.0,31.3,3112.1643,0.0,0,0.0,0.0,0.0,0.0,0.0743
0,sn1/text-service,0.0,44.3,3112.1643,0.0,0,0.0,0.0,0.0,0.0,0.0747
0,sn1/unique-id-service,0.0,4.62,3112.1643,0.0,0,0.0,0.0,0.0,0.0,0.0735
0,sn1/url-shorten-memcached,0.29,4.63,2936.0743,0.0,0,0.0,0.0,0.4453,0.0,0.0742
0,sn1/url-shorten-mongodb,26.89,106.95,3563.6143,0.0,0,182770.1024,43384.3455,41.286,714.9783,0.1415
0,sn1/url-shorten-service,0.0,49.95,3112.1643,0.0,0,0.0,0.0,0.0,0.0,0.0749
0,sn1/user-memcached,0.35,6.32,2936.0743,0.0,0,0.0,0.0,0.5374,0.0,0.0744
0,sn1/user-mention-service,0.0,6.75,3112.1643,0.0,0,0.0,0.0,0.0,0.0,0.0735
0,sn1/user-mongodb,15.8,97.19,3565.5243,0.0312,2,14924.8602,3542.7309,24.2588,714.9783,0.1145
0,sn1/user-service,0.0,18.0,3112.1643,0.0,0,0.0,0.0,0.0,0.0,0.0739
0,sn1/user-timeline-mongodb,28.2,107.07,3563.7743,0.0312,2,205091.3535,48682.7661,43.2974,714.9783,0.1447
0,sn1/user-timeline-redis,4.55,95.08,2997.6043,0.0,0,37246.1113,8841.1515,6.9859,0.0,0.0873
0,sn1/user-timeline-service,0.0,498.65,3112.1643,0.0,0,0.0,0.0,0.0,0.0,0.0889
1,hotel/consul,27.69,29.33,3062.2243,0.0,0,293059.6459,69563.8989,50.6599,1251.212,0.141
1,hotel/frontend,0.98,64.98,3979.8843,0.0,0,1493.7315,354.5687,1.7929,0.0,0.0777
1,hotel/geo,2.07,23.7,3979.8043,0.0,0,12919.4675,3066.7086,3.7871,0.0,0.079
1,hotel/jaeger,0.33,14.79,2941.7543,0.0,0,0.0,0.0,0.6037,0.0,0.0746
1,hotel/memcached-profile,0.51,7.68,2939.9943,0.0,0,0.0,0.0,0.9331,0.0,0.0748
1,hotel/memcached-rate,0.46,7.57,2939.9943,0.0,0,0.0,0.0,0.8416,0.0,0.0747
1,hotel/memcached-reserve,0.42,7.15,2939.9943,0.0,0,0.0,0.0,0.7684,0.0,0.0745
1,hotel/mongodb-geo,9.75,63.41,3261.1743,0.0,0,9014.8009,2139.8535,17.838,0.0,0.0988
1,hotel/mongodb-profile,9.76,65.38,3261.1743,0.0,0,12185.7047,2892.5345,17.8563,0.0,0.0989
1,hotel/mongodb-rate,10.68,64.92,3261.1743,0.0156,2,10377.5033,2463.3197,19.5395,1251.212,0.1011
1,hotel/mongodb-recommendation,9.43,62.87,3261.1743,0.0,0,16588.2818,3937.5792,17.2525,0.0,0.098
